65.79,172.67,34,68.55,59669181189,174073943,Marek
60.51,172.29,49,66.17,12840216624,133399443,Aleksandra
66.24,168.91,25,80.53,40838117799,593927119,Magdalena
75.19,178.04,43,73.83,50806623161,886076386,Wanda
99.82,164.46,18,90.97,84677599269,567874114,Zofia
51.1,180.12,36,68.93,42190995776,757629375,Marcin
53.65,177.28,24,86.11,42987874360,201427963,Marzena
97.13,150.39,56,69.34,83806995530,252803608,Paweł
62.59,179.46,42,88.73,02733327531,877816961,Grażyna
78.57,191.97,53,92.17,93309336624,383307197,Mateusz
81.13,166.5,34,77.95,23585295561,269257083,Kamil
86.18,181.47,30,82.71,25144650701,709766806,Barbara
63.18,161.53,57,60.81,23859451224,328486075,Aleksandra
85.5,183.8,50,80.09,76186385620,756661791,Kacper
95.72,193.3,18,83.41,76087923697,754979125,Agnieszka
71.63,193.0,28,68.62,98443743140,453188184,Sebastian
83.53,185.88,20,95.06,15349631674,645565805,Jacek
71.94,183.22,21,97.04,01997413621,639263890,Irena
86.59,189.9,54,76.57,39961227365,301872490,Michał
95.72,161.79,53,90.1,30784963500,763278860,Stanisław
55.8,187.78,29,94.39,72354264040,166337401,Paweł
89.65,174.52,30,80.61,90657572810,938040226,Paweł
77.69,195.34,30,82.12,35492655971,256437724,Andrzej
87.42,156.66,56,67.16,34082659629,982428026,Grzegorz
67.38,177.23,27,95.12,31660399401,165367045,Renata
84.6,167.47,18,96.96,08807107223,673233043,Marek
51.32,180.29,57,96.3,00300453894,328077404,Andrzej
87.68,175.6,38,68.09,38796650841,608030629,Monika
78.0,160.45,46,70.79,93614425297,902022371,Stanisław
75.06,191.65,26,69.61,46453580233,106873726,Jacek
52.38,189.54,38,73.71,70348686819,571157156,Bożena
62.9,167.62,20,82.78,24270899476,453270135,Patryk
55.99,187.39,33,72.54,05246816588,773617476,Wojciech
84.35,182.16,31,65.93,98137142455,334027995,Adam
58.27,152.99,47,93.88,00347183936,732485595,Kamil
98.4,161.15,28,72.95,37370155326,854396420,Sebastian
79.9,197.51,29,97.13,37400280961,494037134,Rafał
79.03,195.29,23,96.78,65348005460,535874201,Patryk
57.09,168.04,39,66.68,86808610159,835291535,Kamil
86.32,177.49,59,95.12,93649102248,131432055,Elżbieta
54.86,172.73,25,75.94,02734662685,950256703,Kacper
82.77,193.83,42,87.71,30422251563,052263171,Teresa
71.21,172.94,30,87.9,98248886886,790678237,Jacek
98.12,177.95,32,66.02,62432155316,048598433,Bartosz
65.61,160.06,36,78.81,20752368393,148177882,Maria
62.69,172.91,33,88.59,06313818182,359460364,Jacek
63.57,161.67,43,69.24,40890458544,749210119,Anna
94.55,168.77,38,80.53,13447481541,002884727,Rafał
79.17,154.96,31,79.84,96583360848,966079736,Robert
87.5,190.59,60,99.63,46169345656,625591632,Marzena
75.85,170.88,35,71.63,56884956624,698925670,Dariusz
99.42,185.3,47,67.6,98961855774,310252313,Andrzej
80.33,198.67,49,78.35,44583736813,048109896,Anna
91.67,180.35,52,67.67,53997247280,573997842,Halina
67.44,193.33,35,73.95,26188027407,530451975,Wojciech
56.84,172.35,35,76.63,57722895407,538409877,Rafał
93.44,183.63,53,62.13,99297657027,515022950,Jan
91.29,186.03,28,97.62,96820229920,451854042,Bożena
55.57,164.6,55,68.06,36131345579,429392205,Dorota
67.13,187.07,21,75.46,67090858505,892030596,Jan
55.36,154.53,43,82.19,02429033752,094073277,Katarzyna
90.49,197.11,30,87.09,61194105638,979796372,Renata
71.73,190.92,40,96.68,03381601245,611813505,Zofia
93.82,187.25,18,79.77,09164235531,167854540,Sebastian
67.49,195.21,19,89.52,97202074700,615131159,Joanna
96.59,159.61,53,63.64,22446421283,717687491,Kacper
64.91,194.59,57,85.7,92195938443,470923739,Katarzyna
80.07,169.06,49,61.38,96575544946,947902186,Aleksandra
80.6,158.41,49,78.65,36749309826,878554355,Krzysztof
50.66,159.26,38,64.48,69445163860,987726464,Renata
53.12,169.45,46,91.43,02576950606,819518683,Robert
79.33,190.83,19,86.05,68439168254,054909779,Kacper
61.74,194.5,41,95.82,60827915324,305259922,Artur
68.53,173.01,22,94.31,16558094063,040928663,Monika
96.19,151.81,29,88.31,60116548425,316695809,Marek
80.03,158.94,34,66.76,45264699063,083085889,Jakub
67.31,158.93,29,70.86,35730370962,225373652,Dorota
70.37,184.02,42,86.12,28230449542,970764149,Krzysztof
96.85,155.67,33,73.95,34028166738,334558198,Zofia
79.45,176.84,36,61.71,25489906734,837716964,Joanna
96.74,169.59,31,69.45,36263048914,016275190,Krzysztof
74.1,198.38,43,98.36,34789204947,983205863,Dariusz
92.95,179.56,31,94.47,82101397859,743394396,Teresa
72.04,164.62,33,63.52,22004418477,944590542,Patryk
57.59,189.72,22,81.78,27519301332,338227472,Łukasz
94.93,188.35,60,90.17,21387442757,401849631,Stanisław
77.98,161.03,28,66.73,47898089293,593600363,Kamil
98.9,197.93,52,67.6,80318786245,811153749,Katarzyna
77.26,193.54,32,93.44,46364803516,218941138,Grażyna
99.52,191.21,29,93.8,99134936136,840952689,Jan
88.9,157.71,60,78.15,74246603280,311282791,Kacper
81.8,185.9,22,97.58,03486299951,427309983,Marek
95.3,164.63,50,77.73,19628116212,378152643,Wojciech
67.24,164.86,19,87.98,52398884931,230466754,Artur
98.25,173.81,31,80.57,72896378621,656382648,Danuta
93.72,164.96,57,95.53,08942460534,498702596,Magdalena
58.35,194.62,55,81.39,83700483136,485250650,Marek
50.09,193.14,56,72.62,07316298833,718429462,Paweł
79.33,194.49,27,79.45,72493858054,744101008,Wojciech
66.41,174.36,25,72.73,68428414861,953999085,Tomasz
